Symbol
RELIANCE,TCS,HDFCBANK,ICICIBANK,BHARTIARTL,SBIN,INFY,LICI,ITC,HINDUNILVR
MARUTI,SUNPHARMA,ADANIENT,KOTAKBANK,TITAN,ULTRACEMCO,AXISBANK,NTPC,ONGC,ADANIPORTS
ASIANPAINT,COALINDIA,JSWSTEEL,BAJAJ-AUTO,NESTLEIND,GRASIM,HINDALCO,POWERGRID,ADANIPOWER,WIPRO
EICHERMOT,SBILIFE,TATAMOTORS,BPCL,DRREDDY,HINDZINC,JIOFIN,TECHM,BRITANNIA,TATAPOWER
BAJAJFINSV,INDUSINDBK,ADANIGREEN,SHRIRAMFIN,LTIM,TVSMOTOR,DLF,HAL,BEL,VEDL
VBL,PNB,CANBK,IRFC,SIEMENS,UNITDSPR,PIDILITIND,TRENT,GAIL,INDIGO
ABB,UNIONBANK,BANKBARODA,IOC,CHOLAFIN,HEROMOTOCO,HAVELLS,GODREJCP,DABUR,OBEROIRLTY
MANKIND,SHREECEM,ICICIPRU,PERSISTENT,LUPIN,TATASTEEL,JINDALSTEL,TATACONSUM,AWL,NYKAA
ZOMATO,TIINDIA,POLYCAB,AUBANK,MAXHEALTH,SRF,MPHASIS,COFORGE,DIXON,ASTRAL
AMBUJACEM,MUTHOOTFIN,PEL,OFSS,IDEA,YESBANK,SUZLON,ADANITRANS,COLPAL,HDFCLIFE
PGHH,ABCAPITAL,UPL,PAGEIND,CONCOR,TATACOMM,PETRONET,TORNTPHARM,CUMMINSIND,TATAELXSI
MRF,ASHOKLEY,DALBHARAT,PIIND,MAXFSL,RECLTD,PFC,AUROPHARMA,COROMANDEL,LTTS
MFSL,DEEPAKNTR,M&M,JKCEMENT,TATACHEM,VOLTAS,JUBLFOOD,LUPIN,SYNGENE,GLAND
OBEROIRLTY,FORTIS,TRENT,BATAINDIA,METROPOLIS,AARTIIND,NAVINFLUOR,LAURUSLABS,INDIAMART,ATGL
ESCORTS,CROMPTON,ZEEL,GLENMARK,GODREJPROP,SUNTV,BALKRISIND,IPCALAB,IGL,LICHSGFIN
GUJGASLTD,COFORGE,IDFCFIRSTB,ABCAPITAL,IDFC,NAM-INDIA,BANDHANBNK,GMRINFRA,NMDC,SAIL
NATIONALUM,ZYDUSLIFE,BIOCON,PEL,CHAMBLFERT,INDIACEM,IBULHSGFIN,BHEL,RAIN,RBLBANK
CANFINHOME,AUBANK,GRANULES,MANAPPURAM,TATACOMM,IEX,MFSL,MGL,PVRINOX,MCX
